Acronym;Description
AUSZ_T_UM;Fault tolerance threshold for the cyclic ROM check in monitoring function
AVRALU;No. Camshaft-Revs/Combustions f. reactivation misfire detection a. disablement
AWALEMX;Max. angle of rotation after motorstop
AZKELDYN;Ignition per cylinder for load dynamics => knock detection
AZKRLDYN;Number of ignition per cyl. during knock control load dynamic
AZKRNDYN;Number of ignition for knock control engine speed dynamic
AZSTCTFA1H;Stuck-check TFA1: necessary number of high-phases
AZSTCTFA1L;Stuck-check TFA1: necessary number of low-phases
AZSTLU;Extension of suppression of DMD during engine start in number of ignitions
AZSTMIL;No. of ignitions for torque comparison during flare-down
AZSTPON;Changeover of suppression values after engine start in number of ignitions
AZUE;Output ignition
BBBO;Start operating range with fuel in oil
BBDLS;Operating range digital idle stabiliser
BBDNWS;Diagnosis function
BBGANG;Detection of actual gear
BBKD;Calculation of kick-down information
BBKHZ;Control of CAT heating
BBNWS;Operating status
BBPHSYN;Operating range. phase synchronization
BBSAWE;Conditions for fuel cut-off/cut-in
BBSTT;Conditions. Engine start (operating range)
BBTEGA;Operating conditions for purge canister control/fuel adaptation
BBZMS;Operating range ZMS protection
BDEMODAP1;GDI desired mode 1 for application interface
BDEMODAP2;GDI desired mode 2 for application interface
BDEMODZU;Permissible operation modes
BFGRO;Upper limit for acceleration while cruise control is active
BFGRU;Lower limit for acceleration while cruise control is active
BFZGLSFO;Max. lateral acceleration for oil level monitoring
BFZGLSFU;Min. lateral acceleration for oil level monitoring
BGARNW;Calc. Size requirement camshafts adaptations
BGCVN;Calc size calibration verification number CVN
BGDVE;Values for DV-E control from the learning and checking routines
BGGNSOL;Calc. Variable. target gear-influenced engine speed
BGLBZ;Calculated charge deficit of the battery
BGMIL;Calculated size. controlling MIL (Malfunction Indication Lamp)
BGMSABG;Calculation of exhaust emission mass flow - bank dependent
BGMSZS;Calculation of mass flow into the intake manifold
BGNG;Calc variable. engine speed gradient
BGPIRG;Calc. Of interval residual gas fraction
BGPLGU;Calculation of the base boost pressure - turbo engine
BGPUK;Size calculation ambient pressure corrected (downhill recognition)
BGRBS;Calculated size wheel acceleration from wheel speed
BGRLP;Calculated variable rlp. predicted air charge
BGRML;Calculated value of relative air mass according to SAE J1979 mode $01 & $o2 PID
BGSRM;Charge detection intake manifold
BGTABST;Calculated variable. cut-off time
BGTEMPK;Charge detection temp compensation calculation for intake manifold model
BGTEV;Calculation variable. mass flow from TEV
BGTOL;Calculated size (motor) oil temperature
BGTUMG;Calc. Variable. ambient temperature
BGVMAX;Calc variable for (vmax) speed control
BGWDKM;Calculation of throttle angle model
BGWPFGR;Calc. Var. back calculated pedal value for FGR
BHTABST;Blockheater detection: minimum engine off time
BHTMCORR;Blockheater detection: corrected engine temperature
BKV;Pressure control for brake booster
BPHUTEB;Characteristic line for physically uegency für purge control
BPITTH_UM;Threshold value: brake operation for FGR switch-off
BRABEVI;Acceleration at accelerating ramp
BRACC_T_UM;Debounce time for operated brake in function monitoring
BRATD;Acceleration (amount) at tip-down ramp
BRATU;Acceleration at tip-up ramp
BREMS_T_UM;Debounce time for operated brake in function monitoring
BRKWDKCDMX;Max Value of Absolute Throttle Break Point Gradient for Adaptation Enable
BRKWDKSAD1;Lower break point boundary for idle range relative adaptation
BRKWDKSAD2;Upper break point boundary for idle range relative adaptation
BRKWDKSAD3;Lower break point boundary for break out range relative adaptation
BRKWDKSAD4;Lower break point boundary for break out range relative adaptation
BSWKB;Acceleration for set value adjustment after an acceleration
BSWKV;Acceleration for set value adjustment after an deceleration
BZFGR_T_UM;Fault debouncing: fault in message counter FGR CAN message
C2BPV_T_UM;Fault debouncing: fault in brake message protection value class II
C2BSH_T_UM;Fault debouncing: rolling counter halted, class II
C2BSS_T_UM;Fault debouncing: rolling counter messages skipped, class II
C2DSBMX_UM;Maximum deviation of rollingcounter for brake message Class II
CAMNMSVKMA;Active cam lobe during light load control mode
CAN;Can signal list
CATCHDEG;Catch area for camshaft teeth or gaps respectively
CCHCYLSET;Amount of rev. unil change to next cyl. set.
CDATNV;Codeword to enable diagnosis exhaust gas temperature downstream pre catalyst
CDATR;Configuration byte diagnosis exhaust temperature control
CDATS;Configuration byte diagnosis exhaust temperature sensor
CDATVH;Code word: function activation of GGTVHK
CDATVV;Configuration byte diagnosis exhaust temperature sensor pre cat
CDBKVP;Codeword activation for diagnosis brake booster pump DBKVP
CDDSBKV;Code word for DDSBKV
CDDST;Code word CARB: EURO byte for deactivation of tank press. sensor diagn.
CDDTESK;Codeword to enable tank leak diagnosis (Euro coding)
CDDYLSH;Code word dynamic diagnosis (SHK) in OBDII mode (inv.: Europe mode)
CDDYLSU;Codeword Dynamic diagnosis of LSU
CDEDSS;Code word for activation of DDSS
CDEFST;Code word DFSTT inactive (EURO-coding), CD..=0 -> no diagnosis
CDEGFE;Codeword diagnosis input values air charge determination
CDEHFM;Code word for activation of HFM Functions
CDEONV;Used to enable or disable the activation of selected diagnostics
CDFALSH;Code word function request lambda sensor downstream of catalyzer
CDFALSH2;Code word function request lambda sensor downstream of catalyzer 2
CDFO;Code to deactivate and reset the adaptation
CDFTDLA;Configuration of the fuel trim monitoring
CDGGGTS;Code word GGGTS (coolant temperature from instrument cluster)
CDHELSU;Codeword Diagnosis of influence of heater on nernst cell
CDHRLSU;Code word for activation of DHRLSU
CDHRLSUE;Code word for activation of DHRLSUE
CDHSF;Function active per codeword CDHSF
CDHSFE;Function active per codeword CDHSFE
CDHSH;Code word heating diagnose after Kat (CDHSH = 0 => no diagnosis)
CDHSHE;Eurobit for output stage diag. of lambda sensor heating downstream of the cat.
CDHSV;Code word heating diagnose upstr. Kat (CDHSV = 0 => no diagnosis)
CDHSVE;Code word DHLSE power stage of heater for diagnosis pre cat
CDHSVSA;Code word heating diagnose upstr. Kat 'fuel cut-of' (CDHSV = 0 => no diagnosis)
CDICLSU;Codeword Diagnosis: evaluation IC for universal lambda sensor LSU
CDKAAA;Dummy: top of table
CDKAAV;Code word customer: canister close valve (function)
CDKAAVE;Code word customer: canister ventilation valve (power stage)
CDKANWS;Code word customer: camshaft control outlet camshaft
CDKANWSE;Code word customer: Power stage exhaust camshaft
CDKAT;Code word: catalyst diagnosis in OBDII-mode (inverse: European mode)
CDKATSP;Code word: catalyst diagnosis in OBDII-mode (invers: European mode)
CDKBM;Code word customer: reference mark sensor
CDKBREMS;Code word customer: Brake pedal sensor
CDKCAS;Code word customer: CAN interface, timeout ASC
CDKCGE;Code word customer: CAN interface, timeout EGS
CDKDK;Code word customer: throttle position sensor
CDKDK1P;Code word customer: Throttle Position Poti 1
CDKDK2P;Code word customer: Throttle Position Poti 2
CDKDSBKV;Code word customer: pressure brake booster
CDKDSKV;Code word customer: high pressure sensor test
CDKDSL;Code word customer: pressure sensor charging pressure
CDKDSS;Code word customer: Manifold absolute pressure
CDKDST;Code word customer: tank pressure sensor
CDKDSTD;Code word customer: tank pressure sensor drift
CDKDSU;Code word customer: Pressure Sensor Ambient
CDKDVEE;Code word customer: DV-E power stage
CDKDVEF;Code word customer: DV-E cause of failure: spring check
CDKDVEL;Code word customer: DV-E position deviation
CDKDVEN;Code word customer: DV-E cause of failure: limphome position
CDKDVER;Code word customer: DV-E control range
CDKDVEU;Code word customer: DV-E cause of failure: UMA-learning
CDKDVEV;Code word customer: DV-E cause of failure: amplifier adjustment
CDKDYLSH;Code word customer: dynamic diagnosis of oxygen sensor downstream catalyst
CDKDZIC1;Code word customer: ignition driver 1
CDKDZKU0;Code word customer: ignition coil 0
CDKDZKU1;Code word customer: ignition coil 1
CDKDZKU2;Code word customer: ignition coil 2
CDKDZKU3;Code word customer: ignition coil 3
CDKEGFE;Code word customer: charge detection
CDKEMOP;Code word customer: Engine Coolant Overtemperature Protection
CDKENWS;Code word customer: camshaft control inlet camshaft
CDKENWSE;Code word customer: Power stage intake camshaft
CDKFGRH;Code word customer: cruise control lever diagnosis
CDKFP1P;Code word customer: Pedal position Potentiometer Signal 1
CDKFP2P;Code word customer: Pedal position Potentiometer Signal 2
CDKFPP;Code word customer: Pedal Position Potentiometer Signal
CDKFRA;Code word customer: mixture adaptation factor fra
CDKFRST;Code word customer: lambda closed loop control
CDKFST;Code word customer: fuel level
CDKGENE;Code word customer: powerstage failure generator L-terminal
CDKGENFT;Code word customer: generator failure F-terminal
CDKGENLT;Code word customer: generator failure L-terminal
CDKHDEVH1;Code word f. customer: high pressure injection valve Highside 1
CDKHDEVK;Code word f. customer: high pressure injection valve communication
CDKHDEVL1;Code word f. customer: high pressure injection valve Lowside 1
CDKHDR;Code word customer: rail pressure control
CDKHEV00;Code word customer: mechanical failure open HPIV 0
CDKHEV01;Code word customer: mechanical failure open HPIV 1
CDKHEV02;Code word customer: mechanical failure open HPIV 2
CDKHEV03;Code word customer: mechanical failure open HPIV 3
CDKHEVE0;Code word customer: electrical failure open HPIV power stage Bank 0
CDKHEVE1;Code word customer: electrical failure open HPIV power stage Bank 1
CDKHR;Code word customer: main relay
CDKHRE;Code word customer: main relay power stage
CDKHSH;Code word customer: lambda sensor heating downstream cat
CDKHSHE;Code word customer: O2 Sensor Heater power stage
CDKHSV;Code word customer: lambda sensor heating upstream cat
CDKHSVE;Code word customer: lambda sensor heating power stage upstream catalyst
CDKKAT;Code word customer: catalyst conversion
CDKKOSE;Code word customer: A/C compressor control Power stage
CDKKPE;Code word customer: fuel pump relay power stage
CDKKRIC;Code word customer: knock control knock sensor evaluation IC
CDKKRSPI;Code word customer: knock control SPI check
CDKKS1;Code word customer: knock sensor 1
CDKKS2;Code word customer: knock sensor 2
CDKKUPPL;Code word: clutch pedal sensor
CDKLASH;Code word customer: aging of oxygen sensor catalyst downstream
CDKLDE;Code word customer: turbo control valve (power stage)
CDKLM;Code word customer: LMM/HLM/HFM
CDKLSH;Code word customer: oxygen sensor downstream cat
CDKLSV;Code word customer: lambda sensor upstream cat
CDKLUEA;Code word customer: Power stage engine fan A
CDKLUEB;Code word customer: Power stage engine fan B
CDKLUEC;Code word customer: Power stage engine fan C
CDKMD;Code word customer: misfire, multiple
CDKMD00;Code word customer: misfire cyl. 0
CDKMD01;Code word customer: misfire cyl. 1
CDKMD02;Code word customer: misfire cylinder 2
CDKMD03;Code word customer: misfire cylinder 3
CDKMDB;Code word customer: Target torque limitter
CDKMDSCH;Code word customer: Misfire in stratified mode
CDKMFA;Code word customer: MIL not local fixed
CDKMILE;Code word customer: MIL power stage
CDKMSVE;Code word customer: diagnosis output stage MSV
CDKN;Code word customer: speed pick up
CDKNWKWA;Code word customer: aligment between outlet camshaft and cankshaft
CDKNWKWE;Code word customer: aligment between inlet camshaft and cankshaft
CDKNWS;Code word customer: camshaft control
CDKNWSE;Code word customer: power stage of camshaft control valve
CDKNX;Code word customer: Maximum Engine Speed
CDKORA;Code word customer: mixture adaptation additive
CDKPAC;Code word customer: pressure in AC system
CDKPH;Code word customer: phase sensor
CDKPH2;Code word customer: phase sensor 2
CDKPHA;Code word customer: phase sensor outlet bank 1
CDKPHE;Code word customer: phase sensor inlet bank 1
CDKPHM;Code word customer: phase sensor MIL
CDKPN;Code word customer: p/n-switch
CDKPOEL;Code word customer: oil pressure sensing
CDKSGPP;Code word customer: ECU-Parameter Service-ECU
CDKSTAE;Code word customer: automatic start
CDKTA;Code word customer: intake air temperature
CDKTAH;Code word customer: intake air temperature, sensor inside HFM
CDKTANKL;Code word customer: OBDII error due to an empty canister
CDKTCM;Code word customer: CAN interface TCM, invalid signals from TCM
CDKTCS;Code word customer: CAN interface TCS, invalid signals from TCS
CDKTES;Code word customer: canister purge system
CDKTESG;Code word customer: evap system monitoring - rough leak
CDKTEVE;Code word customer: canister purge valve power stage
CDKTHM;Code word customer: Thermostat monitoring THM
CDKTM;Code word customer: engine temperature TMOT
CDKTOL;Code word customer: oil temperature
CDKTUM;Code word customer: ambient (-air) temperature
CDKUB;Code word customer: power supply voltage UB
CDKUFMV;Code word customer: monitoring of the function: torque comparison
CDKURRAM;Code word customer: monitoring of the controller: RAM
CDKURROM;Code word customer: monitoring of the controller: ROM
CDKURRST;Code word customer: monitoring of the controller: Reset
CDKUVSE;Code word customer: dump valve turbo power stage
CDKVFZ;Code word customer: vehicle speed signal
CDKVS;Code word: DKVS active/inactive, CD..=0 -> no diagnosis
CDKVSCMB;Code word: DKVSCOMB active/inactive
CDKVSSC;Code word: DKVSSC active
CDKWFS;Code word customer: immobiliser
CDKZZZ;Dummy: end of table
CDLASF;Codeword lambda sensor downstream frontcatalyzer - switching of functionality pa
CDLASH;Code word oxygen sensor aging diagnosis (SHK) in OBDII mode (inv.: Europe mode)
CDLATP;Code word oxygen sensor aging diagnosis (TP) in OBDII mode (inv.: Europe mode)
CDLATV;Code word lambda sensor monitoring (Tv) in OBDII mode (invers: Europe mode)
CDLDP;Code word LDP diag. in OBDII mode (inverse: Europe mode), CD..=0 -> no diapos.
CDLLR;Code word DLLR inactive (EURO-coding), CD..=0 -> no diagnosis
CDLSF;Function active per codeword CDLSF
CDLSH;Code word lambda sensor diagnosis behind KAT in OBDII-Mode (invers: Europe mode)
CDLSV;Code word oxygen sensor diagnosis upstr. KAT in OBDII mode
CDLSVE;Codeword activation diagnosis LSU-system fault
CDLSVST;Code word oxygen sensor diagnosis upstr. KAT 'start defect' in OBDII mode
CDLSVV;Code word exchange lambda sensor diagnosis in OBDII-Mode (invers: Europe mode)
CDMD;Code word DMD inactive(EURO-coding), CD..=0 -> no diagnosis
CDNOHKP;Code word diagnosis NOx sensor
CDNWS;Code word DNWS disable (EURO-coding), CD..=0 -> no diagnosis
CDPCV;Code word there is PCV valve
CDPLLSU;Codeword Plausibility check LSU
CDSALSU;Codeword SALSU
CDSKNO;Code word for activation of DSKNO
CDSLS;Code word secondary air system in OBDII mode (inv: Europe mode)
CDSLSE;Eurobyte for output stage diagnosis of secondary-valve/pump
CDSU;Code word Su
CDSWE;Code word DSWE inactive (EURO-Coding), CD..=0 -> no diagnosis
CDTANKL;Code word DTANKL inactive (EURO-coding), CD..=0 -> no diagnosis
CDTES;Code word disable canister-purge monitoring (Euro coding), CD..=0 -> no dia.
CDULSU;Codeword Voltage diagnosis of LSU
CDVKT;Euro switch for function DKATTH
CDWGANG;Gear detection for compressor shutdown at full throttle
CDWGANGB;Gear detection during acceleration
CDWVERAD;Codewort
CDZIMOD;Code word for switchover between segm.-spec. and cyl.-spec. DMDFOF
CIDKTDFO;Component Identifier for catalyst diagnosis (factor oxygen entry)
CIDKTDFOT;Component Identifier for catalyst diagnosis at functional test (measurement fact
CJ230MASK;Mask for fault bits, CJ230 power stage
CLRS;Code word for operation modi of lambda controlller
CLRSKA;Code-word function mode catalyst O2 purging
CNFKUPPL;Configuration flag for the evaluation of the cluch switch in the ISC
CNFLLRNS;Config.-byte for dtermination of target engine speed at idle
CNFMDVER;Codeword to configure the function MDVER
CNFMDWAN;Codeword for the computation of MDWAN in the ISC
CNFMDWANC;Code word for take-up of torque by the converter over CAN
CNTENSTINI;Initial value for counter of engine start condition for IUMPR
CNTHEAL;Threshold healing counter HDEV power stage
CORTINC;Value accumulated if there is a tooth correction
CORTINIT;Initializing value for the counter of tooth corrections
CORTMX;Maximum value of the counter for tooth correction
COXLEAN;Lean threshold for oxygen concentration
COXLEANP;Lean threshold for oxygen concentration for plausibility check
COXRICH;Rich threshold for oxygen concentration
COXRICHP;Rich threshold for oxygen concentration for plausibility check
CPRSLDT;Counter to define dt to monitor the slope of the rail pressure for the injection
CTKAPHEAL;Threshold for KAP-diagnosis healing
CTKAPMNERR;Threshold for KAP-diagnosis min-error
CTKAPMXERR;Threshold for KAP-diagnosis max-error
CTKAPSYERR;Threshold for KAP-diagnosis: no synchronisation possible:min-error
CTRMSADIMN;Number of pre-integrations for averaging of actual integretion step
CTRMSADMN;Min number of successful adaptations to be used for interpolation basis
CTRMSADRS;Min number of successful adaptations for adaptation completion
CTRMSADRSN;Number of successfully adapted break points for scaling counters
CWADRES;Codeword for clear adaptation values in case of clear FSP
CWALE;Run-out position is calculated
CWAPP2SV;Code for function APP2SV
CWARMD;Code word anti jerk function
CWATM;Codeword for exhaust temperature model
CWATOP;Codeword for transmission oil pump function
CWATR;Codeword for exhaust gas temperature control
CWAWEA;Codeword AWEA: Bit3 effect of wkrmav in HKS
CWBAIRBAGC;Codeword for manual imitation of the state airbag deployed
CWBAKH;Codeword BAKH
CWBBDNWS;Codeword for conditional camshaft diagnosis enabling
CWBBHTRIP;Codeword of BBHTRIP
CWBBKD;Code word for BBKD
CWBBKH;Codeword: Conditions for catalyst-heating after cranking
CWBBSTNSAD;Codeword for operation condition of start- afterstart adaptation
CWBDE1;Code word 1 for GDI
CWBDEMD;Code word for torque structure for GDI
CW_BDE_UC;Code word for Fuel direct injection in instruction test
CW_BDE_UM;Code word for Fuel direct injection in monitoring function
CWBGADAP;Code word for BGADAP
CWBGBG;Code word for BGBG
CWBGFKMS;Code word for BGFKMS
CWBGLASO;Code word for function BGLASO
CWBGMIL;Code word BGMIL
CWBGMSHMDK;Code word for BGMSHMDK
CWBGMSL;Codeword Multi Point Air Flow Offset Adaptation
CWBGNLLKH;Code word used by BGNLLKH
CWBGRLFGZS;Code word for BGRLFGZS
CWBGRLMXS;Codeword BGRLMXS
CWBGRLP;Code word configuration function BGRLP
CWBGTOL;Code word for configuration of (engine) oil temperature signal
CWBGTOTRA;Code word for BGTOTRA
CWBGWNWVFA;Code word camshaft fine trigger (BGWNWVFA)
CWBGWNWVFE;Code word camshaft fine trigger
CWBGWPFGR;Code word for BGWPFGR
CWBH;Cw for configuration of BGBH
CWBKV;Code word for brake booster
CWBRCFG;Code word for configuration BASS Sensor
CWBRLS;Code word brake-light switch
CWBRS;Codeword Brake-Switch
CWBWEEN;Code word for deactivation of movement detection
CWCANCONF;Code word for CAN configuration
CWCANECM01;Code word for CANECM
CW_CARSEL;Code word for Serial Data Concept configuration
CWCASSCAL;Codeword calibration of CASS-System
CWCFMST;Function injectors turn off if detect clear flood condition enable/disable
CWDALA;Code word DMDMIL durability run counter
CWDBKVP;Code word for diagnosis brake booster (DBKVP)
CWDCFFLR;Code word for output option of DCCFLR
CWDCTCW;Code Word: configuration of DCTCW
CWDCTFA;Codeword for configuration of DCTFA
CWDDST;Code word for enabling DDST during idle
CWDDSTD;Codeword for configuration of check of tank pressure sensor for drift
CWDDYLSU;Code word DDYLSU
CWDEGFEE;Code word for switch of the DEGFE-inputs
CWDEONVTC;Service test enabled
CWDFPM;Code word: bit-coded activation of the DFPM subfunctions
CWDHFM;Code word in DHFM
CWDHLSH;Code word in DHHLSHK
CWDHR;Code word Diagnosis main relay
CWDHRLSU;Code word for release of DHRLSU
CWDHSC;Code word for the high side check diagnosis
CWDICLSU;Code word Diagnosis DICLSU
CWDIMCLS;Configuration code word für function DIMCLS
CWDKATNO;Code for activation of DKATNO
CWDKATSP;Codeword for catalyst monitoring DKATSP
CWDKATSPEB;Internal code word for DKATSPEB
CWDKNOLU;Codeword: Application supply DK at air in limphome position
CWDKRNT;Code word: kc-diagnosis integrator gradient
CWDKRPAR;Code word: kc-diagnosis paritya check
CWDKRSPI;Code word: kc-diagnosis SPI check
CWDKRTP;Code word: kc-diagnosis testpulse
CWDKS;Code word knock sensor diagnosis
CWDKSIC;Code word knock sensor diagnosis short circuit
CWDKUPPL;Code word for DKUPPL
CWDKVSSC;Codeword : Request for stabilizing adaptation in load-/speed window activ
CWDKVSTAB;Codeword: Reset of Integrator-value stabel after change of adaption area
CWDLLR;Codeword for selecting DLLR (continuous or non-continuous variant)
CWDLRIKL;Codeword: DLR-small-I-quota is activ
CWDLSAHK;Code word CWDLSAHK for test aging of O2-sensor post cat
CWDLSH;Code word for dlsh electrical monitoring and operatin readiness sensor post cat
CWDMDE;Code word for EOBD-application DMDMIL
CWDMDZAG;Code word DMDZAG configuration
CWDMFAB;Code word software switch for slope limitation
CWDNMAX;Code word: deactivation of diagnosis overspeed
CWDSKVR;Codeword to disable high pressure sensor diagnosis
CWDSLSY;Code word in diagnostics of secondary-air system
CWDSMMOD;Code word to change DSM GDI mode request
CWDSTHDR;Code word for diagnosis start with high pressure
CWDSUVR;Code word DSUVR to switch between pressure and HFM based diagnosis
CWDTESKAPP;Codeword for activating a desired tank leakage diagnosis (for calibration purpos
CWDTESKEB;Code word for switch on tank leak diagnosis
CWDTESKSIM;Code word enable simultaneous tank leak diagnosis
CWDTESKSV;Code word : Switch off the dependency on B_cddtesk of 1.0mm Leakage check suppor
CWDTESKTC;Code word for DTESK tester communication
CWDTESKZA;Code word for features of DTESKZA
CWDTHIR;Code Word: configuration of DTHM
CWDTHM;Code word for function DTHM
CW_DUF;Code word to delay fault storage into Diagnose Manager
CWDVEFO;Codeword DV-E opening spring-check
CWDVFZ;Code word for diagnosis of vehicle speed signal
CWDVFZ2;Code word 2 for diagnosis of vehicle speed signal
CWDYLSH;Code word CWDYLSH dynamic diagnosis of O2-sensor downstream cat
CWEMOP;Codeword for activation of EMOP
CWEONV;Code word EONV diagnosis
CWEONVIR;Configuration code word für DEONVIR
CWERFIL;Codeword for selection of misfire fault codes for output to scan tool
CWESNWS;Codeword ESNWS
CWESUK;Code word transient compensation
CWEVAB;Codeword injection valve cutoff
CWEXCPWF;Code word initialization NVRAM after prohibited exception
CWFCMCLR;Codeword to avctivate _fcmclr process (deletes whole FCM)
CWFGRABED;Codeword for FGRABED
CWFGRBESI;Code word FGRBESI
CWFGRFULO;Code word FGRFULO
CWFGRFULO2;Code word FGRFULO 2
CWFGRLVZ;Codeword clear vziel_w
CWFGRREGL;Code word FGRREGL
CWFKPLSINI;Change-over of the initialization for the charging compensation running in the b
CWFLC;Code word for control of MIL-ON, according to OBDII /EOBD
CWFLSUBB;Code word LSU upstream cat. ready for operation enable
CWFPC;Codeword fuel purge control
CWFPCFELMR;Codeword configuration massflow request from tank leakage diagnosis
CWFRST;Codeword for DFRST
CWFSTD;Codeword fuel level diagnostic
CW_FUBND;Code word for interval ignition
CWFUEDK;Codeword FUEDK
CWGALSV;Code word for reset of adaptation values at error E_lsv
CWGAPH;Code word for different mixture adaptation phases
CWGGCRSH;Code word for configurating the function GGCRSH
CWGGKUPPL;Configuration code word GGKUPPL
CWGGLSH;Code word for Ri-evaluation for sensor downstream of cat
CWGGLSU;Code word for GGLSU
CWGGPBKV;Code word for brake booster (function GGPBKV)
CWGGTFMRPS;Configuration: GGTFM switch to replacement value at start
CWGLTCTLDC;Set L terminal duty cycle to constant value KWKTGLTCTLDC
CWGMGEN;Codeword for GM/Opel generator
CWGRABH;Code word for GRA control lever
CWHDRPSOL;Codeword for function HDRPSOL
CWHFMKB;Code word HFM cable harness connection
CWHFMRSE;Code word HFM back flow detection
CWHLSHK;Code word heating control lambda sensor after Catalyst
CWHT2KTMSV;Codeword for configuration of hardwaredriver HT2KTMSV
CWHTNWS;Code Word HT2KTNWS
CWINJFLT;Code word to mask out some fuel high pressure component errors which rejects the
CWIUMPRKF;Code word IUMPR kernel function
CWKAMFZKH;Enable switch over from KAMFZ to KAMFZKH at catalyst heating
CWKDASG;Code word: detection of kick down in combination with automatic gear shift
CWKFPRSOL;Codeword to configure KFPRSOL2/3
CWKFPRSOL2;Codeword to select operation mode for KFPRSOL2
CWKFPRSOL3;Codeword to select operation mode for KFPRSOL3
