CLADSVLU;Fault class: Pressure sensor signal comparison (Boost vs. Ambient)
CLADVEE;Fault class: DV-E output stage
CLADVEF;Fault class: DV-E error during spring test
CLADVEFO;CLADVEFO
CLADVEL;Fault class: DV-E position deviation
CLADVEN;Fault class: DV-E error during emergency air position test
CLADVER;Fault class: DV-E control range
CLADVEU;Fault class: DV-E error during UMA learning
CLADVEV;Fault class: DV-E error during amplifier adjustment
CLAEGFE;Fault class: Load detection
CLAENWS;Fault class: Variable valve timing intake camshaft
CLAENWSE;Fault class: Intake camshaft output stage
CLAEPCLE;Fault class: Driving behavior error lamp (output stage)
CLAETSE;Fault class: Electric thermostat output stage
CLAEV1;Fault class: Injector output stage 1
CLAEV2;Fault class: Injector output stage 2
CLAEV3;Fault class: Injector output stage 3
CLAEV4;Fault class: Injector output stage 4
CLAEV5;Fault class: Injector output stage 5
CLAEV6;Fault class: Injector output stage 6
CLAEV7;Fault class: Injector output stage 7
CLAEV8;Fault class: Injector output stage 8
CLAFP1P;Fault class: Potentiometer 1, accelerator pedal
CLAFP2P;Fault class: Potentiometer 2, accelerator pedal
CLAFPP;Fault class: Accelerator pedal potentiometer
CLAFRAO;Fault class: LR adaptation upper range
CLAFRAU;Fault class: LR adaptation lower range
CLAFRST;Fault class: LR deviation
CLAGRBH;Fault class: Cruise control lever
CLAHSH;Fault class: Lambda sensor heater downstream of catalyst
CLAHSH2;Fault class: Lambda sensor heater 2 downstream of catalyst
CLAHSHE;Fault class: Lambda sensor heater output stage downstream of catalyst
CLAHSHE2;Fault class: Lambda sensor heater 2 output stage downstream of catalyst
CLAHSV;Fault class: Lambda sensor heater upstream of catalyst
CLAHSV2;Fault class: Lambda sensor heater 2 upstream of catalyst
CLAHSVSA;Fault class: Lambda sensor heater upstream of catalyst
CLAHSVSA2;Fault class: Lambda sensor heater 2 upstream of catalyst
CLAKAT;Fault class: Catalyst
CLAKPE;Fault class: Fuel pump relay output stage
CLAKRA01;Fault class: Knock control limit cylinder 1
CLAKRA02;Fault class: Knock control limit cylinder 2
CLAKRA03;Fault class: Knock control limit cylinder 3
CLAKRA04;Fault class: Knock control limit cylinder 4
CLAKRNT;Fault class: Knock control zero test
CLAKROF;Fault class: Knock control offset
CLAKRTP;Fault class: Knock control test pulse
CLAKS1;Fault class: Knock sensor 1
CLAKS2;Fault class: Knock sensor 2
CLAKS3;Fault class: Knock sensor 3
CLAKS4;Fault class: Knock sensor 4
CLAKUPPL;Fault class: Clutch pedal travel sensor
CLALASH;Fault class: Lambda sensor aging downstream of catalyst
CLALASH2;Fault class: Lambda sensor aging downstream of catalyst bank 2
CLALDE;Fault class: LDR cycle valve output stage
CLALDO;Fault class: LDR overcharge error
CLALDP;Fault class: Leak diagnosis pump
CLALDPE;Fault class: LDP output stage
CLALDRA;Fault class: LDR control deviation error
CLALDUV;Fault class: Diverter valve output stage
CLALKVDK;Fault class: Leak upstream of throttle valve
CLALLR;Fault class: Idle speed control
CLALM;Fault class: Main load signal
CLALSH;Fault class: Lambda sensor downstream of catalyst
CLALSV;Fault class: Lambda sensor upstream of catalyst
CLAMD;Fault class: Misfires, sum error (multiple)
CLAMD00;Fault class: Misfire cyl. 0
CLAMD01;Fault class: Misfire cyl. 1
CLAMD02;Fault class: Misfire cyl. 2
CLAMD03;Fault class: Misfire cyl. 3
CLAMDB;Fault class: Torque limitation target torque
CLAMFA;Fault class: MIL externally determined
CLAMILE;Fault class: MIL output stage
CLAN;Fault class: Engine speed sensor
CLANWKW;Fault class: Correlation camshaft to crankshaft
CLANWSE;Fault class: Camshaft control valve output stage
CLANX;Fault class: NMAX exceedance
CLAPH;Fault class: Phase sensor
CLARKAT;Fault class: LR adaptation additive range per time
CLARKAZ;Fault class: LR adaptation additive range per ignition
CLASCR;Fault class: Crash signal monitoring
CLASGEEP;Fault class: ECU defective (EEPROM)
CLASGEEW;Fault class: ECU defective (EEPROM IMMO area)
CLASLPE;Fault class: Secondary air pump output stage
CLASLS;Fault class: Secondary air system
CLASLV;Fault class: Secondary air valve tightness
CLASLVE;Fault class: Secondary air valve output stage
CLASUE;Fault class: Intake manifold changeover output stage
CLASWE;Fault class: Acceleration sensor for rough road detection
CLATA;Fault class: Intake air temperature TANS (/Charge air)
CLATANKL;Fault class: Tank empty
CLATES;Fault class: Tank diagnosis, TEV open
CLATESF;Fault class: Tank diagnosis, fine leak
CLATESG;Fault class: Tank diagnosis, gross leak
CLATEVE;Fault class: Tank ventilation valve output stage
CLATEVE2;Fault class: Tank ventilation valve output stage bank 2
CLATM;Fault class: Engine temperature TMOT
CLATMKI;Fault class: Engine temperature from instrument cluster TMKI
CLATUM;Fault class: Ambient temperature TUM
CLAUB;Fault class: Battery voltage UB (On-board network)
CLAUBR;Fault class: UBR system voltage via main relay
CLAUFMV;Fault class: Function monitoring: Torque comparison
CLAUFSKA;Fault class: Function monitoring: Safety fuel cutoff
CLAURRAM;Fault class: Processor monitoring: RAM
CLAURROM;Fault class: Processor monitoring: ROM
CLAURRST;Fault class: Processor monitoring: Reset
CLAUVSE;Fault class: Turbocharger bypass valve output stage
CLAVFZ;Fault class: Speed signal
CLAWFS;Fault class: Immobilizer
CLAZZZ;Dummy: Table end
CLDPAAV;Codeword electric AAV present
CLDPTVC;Codeword DLDP-TEV check
CLRSHK;Codeword for release LRSHK and selection initialization
CLRZWTMS;Codeword forced activation of LR according to CARB requirement
CLSDKH;Codeword for LSD deactivation during catalyst heating
CNFSL;Codeword for inclusion of power steering in idle control (LLR)
CNOKT;Codeword low-octane fuel
CNSDEF;Codeword for target speed switching (default value)
CNS_AOG;Upper limit value adaptation codeword idle speed switching
CNS_AUG;Lower limit value adaptation codeword idle speed switching
CPLRA;Codeword for switching DKVS from MAF to P-system
CREDSTU;Codeword for reduction stage on/off
CSAIR;Target checksum of the airbag message
CSGRA;Checksum for GRA CAN message
CUKA;Codeword clutch adaptation
CVNIO;Calibration Verification Number for the tester with correctly detected checksum
CWBAESEL;Codeword for switching downhill detection etc.
CWBBDECJ;Codeword anti-stall protection DECJ active
CWBGMSZS;Codeword for the BGMSZS
CWBGTABST;Codeword for determination of shutdown time
CWCANKBI;Codeword for automatic instrument cluster message detection
CWCANMD;Codeword for formation of CAN output torque specifications inaccurate
CWCAUVW;Codeword for Audi/VW CAN output
CWCDCUM;Codeword for switching CDCs to the respective market
CWCKBI;Codeword for receiving CAN message cluster1
CWCS;Codeword for evaluation of CAN crash info
CWCSER;Codeword for evaluation of the airbag message
CWDEGFE;Codeword for deactivation of function %DEGFE
CWDKROF;Codeword: Knock control diagnosis reset value
CWDKS1;Codeword: Knock sensor diagnosis sensor 1
CWDKS2;Codeword: Knock sensor diagnosis sensor 2
CWDKS3;Codeword: Knock sensor diagnosis sensor 3
CWDKS4;Codeword: Knock sensor diagnosis sensor 4
CWDKVSS;Codeword for blocking error in DKVS if other errors are present
CWDLDPTE;Codeword for DLDP present in system
CWDLDUV;Codeword for diverter valve diagnosis
CWDLSU;Codeword for DLSU
CWDMIL;Codeword ti-continuous wave control RKTI
CWDSLSA;Codeword in the secondary air system diagnosis
CWDSLSAD;Codeword in secondary air control diagnosis for active diagnosis
CWDTEAPP;Application codeword for DTEV always active and switching from MAF to P-system
CWESWEZ;Codeword release for additional fuel quantity upon re-injection
CWFA107;Codeword short trip requests display group 107
CWFA107A;Supplement codeword short trip requests display group 107
CWFA108;Codeword short trip requests display group 108
CWFA108A;Supplement codeword short trip requests display group 108
CWFA109;Codeword short trip requests display group 109
CWFA109A;Supplement codeword short trip requests display group 109
CWFA130;Codeword short trip requests display group 130
CWFA130A;Supplement codeword short trip requests display group 130
CWFA140;Codeword short trip requests display group 140
CWFA140A;Supplement codeword short trip requests display group 140
CWFA145;Codeword short trip requests display group 145
CWFA145A;Supplement codeword short trip requests display group 145
CWFA146;Codeword short trip requests display group 146
CWFA146A;Supplement codeword short trip requests display group 146
CWFA147;Codeword short trip requests display group 147
CWFA147A;Supplement codeword short trip requests display group 147
CWFA190;Codeword short trip requests display group 190
CWFA190A;Supplement codeword short trip requests display group 190
CWFA191;Codeword short trip requests display group 191
CWFA191A;Supplement codeword short trip requests display group 191
CWFA192;Codeword short trip requests display group 192
CWFA192A;Supplement codeword short trip requests display group 192
CWFA193;Codeword short trip requests display group 193
CWFA193A;Supplement codeword short trip requests display group 193
CWFA194;Codeword short trip requests display group 194
CWFA194A;Supplement codeword short trip requests display group 194
CWFA195;Codeword short trip requests display group 195
CWFA195A;Supplement codeword short trip requests display group 195
CWFA196;Codeword short trip requests display group 196
CWFA196A;Supplement codeword short trip requests display group 196
CWFA197;Codeword short trip requests display group 197
CWFA197A;Supplement codeword short trip requests display group 197
CWFA198;Codeword short trip requests display group 198
CWFA198A;Supplement codeword short trip requests display group 198
CWFA199;Codeword short trip requests display group 199
CWFA199A;Supplement codeword short trip requests display group 199
CWFA201;Codeword short trip request display group 201
CWFA201A;Supplement codeword short trip requests display group 201
CWFA202;Codeword short trip request display group 202
CWFA202A;Supplement codeword short trip requests display group 202
CWFA203;Codeword short trip request display group 203
CWFA203A;Supplement codeword short trip requests display group 203
CWFA204;Codeword short trip request display group 204
CWFA204A;Supplement codeword short trip requests display group 204
CWFA205;Codeword short trip request display group 205
CWFA205A;Supplement codeword short trip requests display group 205
CWFA206;Codeword short trip request display group 206
CWFA206A;Supplement codeword short trip requests display group 206
CWFA207;Codeword short trip request display group 207
CWFA207A;Supplement codeword short trip requests display group 207
CWFA208;Codeword short trip request display group 208
CWFA208A;Supplement codeword short trip requests display group 208
CWFA209;Codeword short trip request display group 209
CWFA209A;Supplement codeword short trip requests display group 209
CWFA210;Codeword short trip request display group 210
CWFA210A;Supplement codeword short trip requests display group 210
CWFA211;Codeword short trip request display group 211
CWFA211A;Supplement codeword short trip requests display group 211
CWFA212;Codeword short trip request display group 212
CWFA212A;Supplement codeword short trip requests display group 212
CWFA213;Codeword short trip request display group 213
CWFA213A;Supplement codeword short trip requests display group 213
CWFA214;Codeword short trip request display group 214
CWFA214A;Supplement codeword short trip requests display group 214
CWFA215;Codeword short trip request display group 215
CWFA215A;Supplement codeword short trip requests display group 215
CWFA216;Codeword short trip request display group 216
CWFA216A;Supplement codeword short trip requests display group 216
CWFA217;Codeword short trip request display group 217
CWFA217A;Supplement codeword short trip requests display group 217
CWFA218;Codeword short trip request display group 218
CWFA218A;Supplement codeword short trip requests display group 218
CWFA219;Codeword short trip request display group 219
CWFA219A;Supplement codeword short trip requests display group 219
CWFA220;Codeword short trip request display group 220
CWFA220A;Supplement codeword short trip request display group 220A
CWFA221;Codeword short trip request display group 221
CWFA221A;Supplement codeword short trip request display group 221A
CWFA222;Codeword short trip request display group 222
CWFA222A;Supplement codeword short trip request display group 222A
CWFA223;Codeword short trip request display group 223
CWFA223A;Supplement codeword short trip request display group 223A
CWFA224;Codeword short trip request display group 224
CWFA224A;Supplement codeword short trip request display group 224A
CWFA225;Codeword short trip request display group 225
CWFA225A;Supplement codeword short trip request display group 225A
CWFA226;Codeword short trip request display group 226
CWFA226A;Supplement codeword short trip request display group 226A
CWFA227;Codeword short trip request display group 227
CWFA227A;Supplement codeword short trip request display group 227A
CWFA228;Codeword short trip request display group 228
CWFA228A;Supplement codeword short trip request display group 228A
CWFA229;Codeword short trip request display group 229
CWFA229A;Supplement codeword short trip request display group 229A
CWFA230;Codeword short trip request display group 230
CWFA230A;Supplement codeword short trip request display group 230A
CWFA231;Codeword short trip request display group 231
CWFA231A;Supplement codeword short trip request display group 231A
CWFA232;Codeword short trip request display group 232
CWFA232A;Supplement codeword short trip request display group 232A
CWFA233;Codeword short trip request display group 233
CWFA233A;Supplement codeword short trip request display group 233A
CWFA234;Codeword short trip request display group 234
CWFA234A;Supplement codeword short trip request display group 234A
CWFA235;Codeword short trip request display group 235
CWFA235A;Supplement codeword short trip request display group 235A
CWFA236;Codeword short trip request display group 236
CWFA236A;Supplement codeword short trip request display group 236A
CWFA237;Codeword short trip request display group 237
CWFA237A;Supplement codeword short trip request display group 237A
CWFA238;Codeword short trip request display group 238
CWFA238A;Supplement codeword short trip request display group 238A
CWFA239;Codeword short trip request display group 239
CWFA239A;Supplement codeword short trip request display group 239A
CWFA240;Codeword short trip request display group 240
CWFA240A;Supplement codeword short trip request display group 240A
CWFA241;Codeword short trip request display group 241
CWFA241A;Supplement codeword short trip request display group 241A
CWFA242;Codeword short trip request display group 242
CWFA242A;Supplement codeword short trip request display group 242A
CWFA243;Codeword short trip request display group 243
CWFA243A;Supplement codeword short trip request display group 243A
CWFA244;Codeword short trip request display group 244
CWFA244A;Supplement codeword short trip request display group 244A
CWFA245;Codeword short trip request display group 245
CWFA245A;Supplement codeword short trip request display group 245A
CWFA246;Codeword short trip request display group 246
CWFA246A;Supplement codeword short trip request display group 246A
CWFA247;Codeword short trip request display group 247
CWFA247A;Supplement codeword short trip request display group 247A
CWFA248;Codeword short trip request display group 248
CWFA248A;Supplement codeword short trip request display group 248A
CWFA249;Codeword short trip request display group 249
CWFA249A;Supplement codeword short trip request display group 249A
CWFA250;Codeword short trip request display group 250
CWFA250A;Supplement codeword short trip request display group 250A
CWFA251;Codeword short trip request display group 251
CWFA251A;Supplement codeword short trip request display group 251A
CWFA252;Codeword short trip request display group 252
CWFA252A;Supplement codeword short trip request display group 252A
CWFA253;Codeword short trip request display group 253
CWFA253A;Supplement codeword short trip request display group 253A
CWFA254;Codeword short trip request display group 254
CWFA254A;Supplement codeword short trip request display group 254A
CWFA255;Codeword short trip request display group 255
CWFA255A;Supplement codeword short trip request display group 255A
CWFA28;Codeword short trip requests display group 28
CWFA28A;Supplement codeword short trip requests display group 28
CWFA34;Codeword short trip requests display group 34
CWFA34A;Supplement codeword short trip requests display group 34
CWFA35;Codeword short trip requests display group 35
CWFA35A;Supplement codeword short trip requests display group 35
CWFA36;Codeword short trip requests display group 36
CWFA36A;Supplement codeword short trip requests display group 36
CWFA37;Codeword short trip requests display group 37
CWFA37A;Supplement codeword short trip requests display group 37
CWFA38;Codeword short trip requests display group 38
CWFA38A;Supplement codeword short trip requests display group 38
CWFA39;Codeword short trip requests display group 39
CWFA39A;Supplement codeword short trip requests display group 39
CWFA43;Codeword short trip requests display group 43
CWFA43A;Supplement codeword short trip requests display group 43
CWFA44;Codeword short trip requests display group 44
CWFA44A;Supplement codeword short trip requests display group 44
CWFA46;Codeword short trip requests display group 46
CWFA46A;Supplement codeword short trip requests display group 46
CWFA47;Codeword short trip requests display group 47
CWFA47A;Supplement codeword short trip requests display group 47
CWFA48;Codeword short trip requests display group 48
CWFA48A;Supplement codeword short trip requests display group 48
CWFA49;Codeword short trip requests display group 49
CWFA49A;Supplement codeword short trip requests display group 49
CWFA70;Codeword short trip requests display group 70
CWFA70A;Supplement codeword short trip requests display group 70
CWFA71;Codeword short trip requests display group 71
CWFA71A;Supplement codeword short trip requests display group 71
CWFA75;Codeword short trip requests display group 75
CWFA75A;Supplement codeword short trip requests display group 75
CWFA77;Codeword short trip requests display group 77
CWFA77A;Supplement codeword short trip requests display group 77
CWFA78;Codeword short trip requests display group 78
CWFA78A;Supplement codeword short trip requests display group 78
CWFA94;Codeword short trip requests display group 94
CWFA94A;Supplement codeword short trip requests display group 94
CWFA96;Codeword short trip requests display group 96
CWFA96A;Supplement codeword short trip requests display group 96
CWFAN;Codeword engine speed request for end-of-line test
CWFASL;Codeword: Tester intervention secondary air diagnosis
CWFGRGA_0_A;Codeword for gear-dependent FGR (Cruise Control) prohibition
CWFGRGA_1_A;Codeword for gear-dependent FGR (Cruise Control) prohibition
CWFKMSDKA;Codeword for mass flow adaptation active
CWFUEREG;Codeword load controller active outside of idle
